t,LOG10N,pa
51,0.1491,2.23-E:R6
52,0.1495,2.23-E:R6
53,0.1608,2.23-E:R6
54,0.1924,2.23-E:R6
55,0.1881,2.23-E:R6
56,0.1843,2.23-E:R6
57,0.1756,2.23-E:R6
58,0.162,2.23-E:R6
59,0.1654,2.23-E:R6
60,0.1673,2.23-E:R6
61,0.1714,2.23-E:R6
62,0.1738,2.23-E:R6
63,0.176,2.23-E:R6
64,0.1809,2.23-E:R6
65,0.182,2.23-E:R6
66,0.1839,2.23-E:R6
67,0.1848,2.23-E:R6
46,0.17,2.23-NE:R1
47,0.1654,2.23-NE:R1
48,0.1634,2.23-NE:R1
53,0.1581,2.23-NE:R1
54,0.1635,2.23-NE:R1
55,0.1661,2.23-NE:R1
56,0.1666,2.23-NE:R1
57,0.1674,2.23-NE:R1
58,0.1694,2.23-NE:R1
59,0.1697,2.23-NE:R1
60,0.1711,2.23-NE:R1
61,0.171,2.23-NE:R1
62,0.1728,2.23-NE:R1
63,0.1728,2.23-NE:R1
64,0.1775,2.23-NE:R1
65,0.1803,2.23-NE:R1
66,0.182,2.23-NE:R1
67,0.1819,2.23-NE:R1
45,0.3542,2.23-NE:R2
54,0.292,2.23-NE:R2
45,0.3432,2.23-NE:R3
53,0.2368,2.23-NE:R3
54,0.274,2.23-NE:R3
55,0.2658,2.23-NE:R3
56,0.2555,2.23-NE:R3
45,0.3357,2.23-NE:R4
53,0.2288,2.23-NE:R4
54,0.2651,2.23-NE:R4
55,0.2605,2.23-NE:R4
56,0.2572,2.23-NE:R4
57,0.2528,2.23-NE:R4
58,0.2333,2.23-NE:R4
45,0.3326,2.23-NE:R5
53,0.2251,2.23-NE:R5
54,0.2617,2.23-NE:R5
55,0.2584,2.23-NE:R5
56,0.2561,2.23-NE:R5
57,0.2529,2.23-NE:R5
58,0.2405,2.23-NE:R5
45,0.3139,2.23-NE:R6
53,0.1935,2.23-NE:R6
54,0.2265,2.23-NE:R6
55,0.2225,2.23-NE:R6
56,0.2209,2.23-NE:R6
57,0.2176,2.23-NE:R6
24,0.0354,20-E:R1
26,0.0306,20-E:R1
27,0.0306,20-E:R1
41,0.0527,20-E:R1
44,0.044,20-E:R1
0,0.0069,20-E:R1
1,0.0071,20-E:R1
3,0.0065,20-E:R1
2,0.0067,20-E:R1
4,0.0072,20-E:R1
5,0.0075,20-E:R1
6,0.0071,20-E:R1
7,0.0075,20-E:R1
8,0.0069,20-E:R1
9,0.0079,20-E:R1
10,0.0076,20-E:R1
11,0.0082,20-E:R1
45,0.0423,20-E:R1
43,0.0465,20-E:R1
46,0.0417,20-E:R1
47,0.0392,20-E:R1
48,0.0377,20-E:R1
49,0.0369,20-E:R1
50,0.036,20-E:R1
51,0.0368,20-E:R1
52,0.0357,20-E:R1
53,0.0355,20-E:R1
54,0.0356,20-E:R1
55,0.0381,20-E:R1
56,0.0388,20-E:R1
58,0.0369,20-E:R1
57,0.0374,20-E:R1
59,0.0385,20-E:R1
60,0.0374,20-E:R1
61,0.0372,20-E:R1
62,0.0383,20-E:R1
63,0.0367,20-E:R1
64,0.0382,20-E:R1
65,0.0388,20-E:R1
66,0.0397,20-E:R1
67,0.0381,20-E:R1
0,0.0083,20-E:R5
1,0.0071,20-E:R5
2,0.0089,20-E:R5
6,0.0098,20-E:R5
8,0.0075,20-E:R5
3,0.0079,20-E:R5
4,0.0079,20-E:R5
5,0.0085,20-E:R5
7,0.0089,20-E:R5
10,0.0086,20-E:R5
11,0.0087,20-E:R5
26,0.0261,20-E:R5
27,0.0275,20-E:R5
30,0.0254,20-E:R5
33,0.0285,20-E:R5
37,0.0273,20-E:R5
38,0.0276,20-E:R5
39,0.0269,20-E:R5
0,0.011,20-E:R6
1,0.0114,20-E:R6
2,0.0114,20-E:R6
3,0.0113,20-E:R6
4,0.0114,20-E:R6
5,0.0116,20-E:R6
6,0.012,20-E:R6
7,0.0128,20-E:R6
8,0.012,20-E:R6
10,0.0128,20-E:R6
9,0.0128,20-E:R6
11,0.0123,20-E:R6
12,0.0122,20-E:R6
13,0.0125,20-E:R6
53,0.1088,20-NE:R1
54,0.1163,20-NE:R1
55,0.1078,20-NE:R1
56,0.094,20-NE:R1
57,0.0832,20-NE:R1
51,0.0841,20-NE:R2
52,0.0889,20-NE:R2
53,0.1029,20-NE:R2
54,0.1177,20-NE:R2
45,0.1732,20-NE:R2
55,0.1158,20-NE:R2
56,0.1066,20-NE:R2
45,0.2026,20-NE:R3
45,0.2407,20-NE:R4
45,0.1887,20-NE:R5
48,0.0394,20-NE:R6
49,0.0395,20-NE:R6
50,0.0384,20-NE:R6
51,0.0423,20-NE:R6
53,0.0598,20-NE:R6
54,0.064,20-NE:R6
55,0.0701,20-NE:R6
56,0.0723,20-NE:R6
57,0.0753,20-NE:R6
58,0.0768,20-NE:R6
59,0.0804,20-NE:R6
60,0.0827,20-NE:R6
61,0.0838,20-NE:R6
62,0.0855,20-NE:R6
63,0.0874,20-NE:R6
64,0.0918,20-NE:R6
65,0.0936,20-NE:R6
66,0.0964,20-NE:R6
67,0.0977,20-NE:R6
51,0.5017,20.23-E:R1
52,0.5857,20.23-E:R1
53,0.686,20.23-E:R1
54,0.7679,20.23-E:R1
56,0.8677,20.23-E:R1
55,0.8269,20.23-E:R1
58,0.9209,20.23-E:R1
57,0.9005,20.23-E:R1
59,0.9363,20.23-E:R1
60,0.9449,20.23-E:R1
61,0.9512,20.23-E:R1
62,0.9636,20.23-E:R1
63,0.9686,20.23-E:R1
64,0.9784,20.23-E:R1
65,0.9781,20.23-E:R1
66,0.9819,20.23-E:R1
67,0.985,20.23-E:R1
0,0.0067,20.23-E:R2
1,0.0059,20.23-E:R2
2,0.0064,20.23-E:R2
45,0.1205,20.23-E:R2
0,0.0074,20.23-E:R3
1,0.0072,20.23-E:R3
2,0.0081,20.23-E:R3
3,0.008,20.23-E:R3
4,0.0074,20.23-E:R3
5,0.0075,20.23-E:R3
6,0.0063,20.23-E:R3
0,0.0041,20.23-E:R4
1,0.0046,20.23-E:R4
2,0.0044,20.23-E:R4
3,0.0044,20.23-E:R4
4,0.0036,20.23-E:R4
5,0.0044,20.23-E:R4
6,0.006,20.23-E:R4
0,0.0055,20.23-E:R5
1,0.0063,20.23-E:R5
2,0.0067,20.23-E:R5
3,0.0064,20.23-E:R5
4,0.0066,20.23-E:R5
5,0.0071,20.23-E:R5
6,0.008,20.23-E:R5
7,0.0084,20.23-E:R5
8,0.0089,20.23-E:R5
0,0.005,20.23-E:R6
1,0.0052,20.23-E:R6
2,0.0044,20.23-E:R6
3,0.0051,20.23-E:R6
4,0.0043,20.23-E:R6
5,0.006,20.23-E:R6
6,0.0072,20.23-E:R6
7,0.0072,20.23-E:R6
8,0.0076,20.23-E:R6
9,0.0084,20.23-E:R6
10,0.0099,20.23-E:R6
11,0.0121,20.23-E:R6
12,0.0136,20.23-E:R6
52,0.2097,20.23-E:R6
53,0.2168,20.23-E:R6
54,0.2227,20.23-E:R6
55,0.2354,20.23-E:R6
45,0.2064,20.23-NE:R2
45,0.2448,20.23-NE:R3
46,0.1774,20.23-NE:R3
45,0.2457,20.23-NE:R4
54,0.1896,20.23-NE:R3
55,0.1987,20.23-NE:R3
56,0.2032,20.23-NE:R3
57,0.2117,20.23-NE:R3
58,0.2193,20.23-NE:R3
59,0.2245,20.23-NE:R3
60,0.2293,20.23-NE:R3
61,0.234,20.23-NE:R3
62,0.2393,20.23-NE:R3
63,0.2449,20.23-NE:R3
64,0.2505,20.23-NE:R3
65,0.2551,20.23-NE:R3
66,0.2587,20.23-NE:R3
67,0.2596,20.23-NE:R3
34,0.1245,20.23-NE:R4
35,0.1213,20.23-NE:R4
36,0.1267,20.23-NE:R4
37,0.1232,20.23-NE:R4
38,0.1243,20.23-NE:R4
39,0.1257,20.23-NE:R4
40,0.1466,20.23-NE:R4
41,0.1504,20.23-NE:R4
42,0.1534,20.23-NE:R4
43,0.1559,20.23-NE:R4
44,0.1536,20.23-NE:R4
46,0.1574,20.23-NE:R4
47,0.1656,20.23-NE:R4
48,0.1726,20.23-NE:R4
49,0.1719,20.23-NE:R4
50,0.1732,20.23-NE:R4
51,0.1718,20.23-NE:R4
52,0.1757,20.23-NE:R4
53,0.1817,20.23-NE:R4
54,0.1923,20.23-NE:R4
55,0.1985,20.23-NE:R4
56,0.2041,20.23-NE:R4
57,0.2106,20.23-NE:R4
58,0.2156,20.23-NE:R4
59,0.2237,20.23-NE:R4
60,0.2293,20.23-NE:R4
61,0.2335,20.23-NE:R4
62,0.2412,20.23-NE:R4
63,0.2453,20.23-NE:R4
64,0.2516,20.23-NE:R4
65,0.2567,20.23-NE:R4
66,0.2573,20.23-NE:R4
67,0.264,20.23-NE:R4
43,0.1436,20.23-NE:R5
44,0.1438,20.23-NE:R5
47,0.1567,20.23-NE:R5
46,0.1608,20.23-NE:R5
45,0.2229,20.23-NE:R5
48,0.1607,20.23-NE:R5
49,0.1628,20.23-NE:R5
50,0.1628,20.23-NE:R5
51,0.1692,20.23-NE:R5
52,0.169,20.23-NE:R5
53,0.1735,20.23-NE:R5
54,0.1829,20.23-NE:R5
55,0.1885,20.23-NE:R5
56,0.1946,20.23-NE:R5
57,0.2019,20.23-NE:R5
58,0.2073,20.23-NE:R5
59,0.2117,20.23-NE:R5
60,0.2207,20.23-NE:R5
61,0.2245,20.23-NE:R5
62,0.2283,20.23-NE:R5
63,0.2311,20.23-NE:R5
64,0.2374,20.23-NE:R5
65,0.2429,20.23-NE:R5
66,0.2479,20.23-NE:R5
67,0.2495,20.23-NE:R5
29,0.1023,20.23-NE:R5
30,0.1062,20.23-NE:R5
31,0.1099,20.23-NE:R5
32,0.1138,20.23-NE:R5
33,0.1151,20.23-NE:R5
34,0.1164,20.23-NE:R5
47,0.1684,20.23-NE:R3
48,0.1661,20.23-NE:R3
49,0.1676,20.23-NE:R3
50,0.1709,20.23-NE:R3
51,0.1776,20.23-NE:R3
52,0.1773,20.23-NE:R3
53,0.1796,20.23-NE:R3
46,0.1712,20.23-NE:R2
47,0.1678,20.23-NE:R2
48,0.1706,20.23-NE:R2
49,0.1748,20.23-NE:R2
50,0.1808,20.23-NE:R2
51,0.1848,20.23-NE:R2
52,0.183,20.23-NE:R2
53,0.1861,20.23-NE:R2
54,0.1951,20.23-NE:R2
55,0.2053,20.23-NE:R2
56,0.2099,20.23-NE:R2
57,0.2153,20.23-NE:R2
58,0.2214,20.23-NE:R2
59,0.2271,20.23-NE:R2
60,0.2313,20.23-NE:R2
61,0.2352,20.23-NE:R2
62,0.2408,20.23-NE:R2
63,0.2436,20.23-NE:R2
64,0.2495,20.23-NE:R2
65,0.2533,20.23-NE:R2
66,0.258,20.23-NE:R2
67,0.2591,20.23-NE:R2
46,0.1455,20.23-NE:R1
47,0.1497,20.23-NE:R1
48,0.1558,20.23-NE:R1
49,0.1565,20.23-NE:R1
50,0.1571,20.23-NE:R1
51,0.1587,20.23-NE:R1
53,0.1629,20.23-NE:R1
52,0.1614,20.23-NE:R1
54,0.171,20.23-NE:R1
55,0.178,20.23-NE:R1
56,0.1814,20.23-NE:R1
57,0.185,20.23-NE:R1
58,0.1928,20.23-NE:R1
59,0.1985,20.23-NE:R1
60,0.2043,20.23-NE:R1
61,0.2087,20.23-NE:R1
62,0.2137,20.23-NE:R1
64,0.2246,20.23-NE:R1
63,0.2184,20.23-NE:R1
65,0.2288,20.23-NE:R1
66,0.2313,20.23-NE:R1
67,0.2372,20.23-NE:R1
45,0.1624,20.23-NE:R6
46,0.1756,20.23-NE:R6
48,0.1749,20.23-NE:R6
47,0.1724,20.23-NE:R6
49,0.176,20.23-NE:R6
50,0.1816,20.23-NE:R6
51,0.1844,20.23-NE:R6
52,0.182,20.23-NE:R6
53,0.1871,20.23-NE:R6
54,0.1953,20.23-NE:R6
55,0.2063,20.23-NE:R6
56,0.2143,20.23-NE:R6
57,0.2179,20.23-NE:R6
58,0.2239,20.23-NE:R6
59,0.2324,20.23-NE:R6
60,0.2385,20.23-NE:R6
61,0.246,20.23-NE:R6
62,0.2497,20.23-NE:R6
63,0.2495,20.23-NE:R6
64,0.2571,20.23-NE:R6
65,0.2617,20.23-NE:R6
66,0.2652,20.23-NE:R6
67,0.2668,20.23-NE:R6
55,0.1605,23-E:R1
56,0.1629,23-E:R1
57,0.1666,23-E:R1
58,0.1753,23-E:R1
59,0.186,23-E:R1
60,0.1954,23-E:R1
61,0.2141,23-E:R1
62,0.2269,23-E:R1
63,0.2162,23-E:R1
64,0.2094,23-E:R1
65,0.2131,23-E:R1
66,0.2199,23-E:R1
67,0.2381,23-E:R1
0,0.0008,23-E:R1
1,0.0002,23-E:R1
2,0.0009,23-E:R1
3,0.0004,23-E:R1
4,0.0008,23-E:R1
0,0.0035,23-E:R2
1,0.0022,23-E:R2
2,0.002,23-E:R2
3,0.0025,23-E:R2
53,0.1571,23-E:R2
54,0.1598,23-E:R2
55,0.1638,23-E:R2
56,0.1678,23-E:R2
57,0.1699,23-E:R2
58,0.1736,23-E:R2
59,0.1779,23-E:R2
60,0.1803,23-E:R2
61,0.183,23-E:R2
62,0.1874,23-E:R2
63,0.1889,23-E:R2
64,0.1928,23-E:R2
65,0.1952,23-E:R2
66,0.1977,23-E:R2
67,0.1994,23-E:R2
46,0.1881,23-E:R3
0,0.0073,23-E:R3
1,0.0069,23-E:R3
2,0.0066,23-E:R3
3,0.0072,23-E:R3
48,0.1782,23-E:R3
49,0.183,23-E:R3
50,0.1873,23-E:R3
51,0.1937,23-E:R3
53,0.1979,23-E:R3
52,0.1967,23-E:R3
54,0.2023,23-E:R3
55,0.209,23-E:R3
56,0.2133,23-E:R3
57,0.2179,23-E:R3
58,0.2253,23-E:R3
59,0.2317,23-E:R3
60,0.1992,23-E:R3
61,0.2158,23-E:R3
62,0.2256,23-E:R3
63,0.2392,23-E:R3
64,0.2456,23-E:R3
65,0.2501,23-E:R3
66,0.2538,23-E:R3
67,0.2544,23-E:R3
0,0.001,23-E:R4
1,0.0001,23-E:R4
2,0.001,23-E:R4
3,0.001,23-E:R4
4,0.0003,23-E:R4
5,0.0008,23-E:R4
6,0.0025,23-E:R4
46,0.1593,23-E:R4
47,0.1603,23-E:R4
48,0.1642,23-E:R4
49,0.1664,23-E:R4
50,0.1693,23-E:R4
51,0.1727,23-E:R4
52,0.173,23-E:R4
53,0.1747,23-E:R4
54,0.1782,23-E:R4
55,0.1834,23-E:R4
56,0.1865,23-E:R4
57,0.1903,23-E:R4
58,0.1945,23-E:R4
59,0.1989,23-E:R4
60,0.2018,23-E:R4
61,0.205,23-E:R4
62,0.2079,23-E:R4
63,0.2106,23-E:R4
64,0.2147,23-E:R4
65,0.2183,23-E:R4
66,0.2213,23-E:R4
67,0.2223,23-E:R4
0,0.005,23-E:R5
1,0.0048,23-E:R5
2,0.0054,23-E:R5
4,0.0049,23-E:R5
3,0.0046,23-E:R5
41,0.1277,23-E:R5
42,0.1303,23-E:R5
43,0.1339,23-E:R5
44,0.1361,23-E:R5
45,0.1385,23-E:R5
46,0.1445,23-E:R5
47,0.1469,23-E:R5
48,0.1503,23-E:R5
49,0.1529,23-E:R5
50,0.1538,23-E:R5
51,0.1574,23-E:R5
52,0.1583,23-E:R5
53,0.1616,23-E:R5
54,0.1634,23-E:R5
55,0.1672,23-E:R5
56,0.1703,23-E:R5
58,0.1767,23-E:R5
59,0.1807,23-E:R5
57,0.1729,23-E:R5
60,0.1831,23-E:R5
61,0.1855,23-E:R5
62,0.189,23-E:R5
63,0.1906,23-E:R5
64,0.1718,23-E:R5
65,0.1818,23-E:R5
66,0.1836,23-E:R5
67,0.1863,23-E:R5
0,0.0035,23-E:R6
1,0.0042,23-E:R6
2,0.0045,23-E:R6
3,0.0039,23-E:R6
46,0.1195,23-E:R6
47,0.1206,23-E:R6
48,0.1235,23-E:R6
49,0.1244,23-E:R6
50,0.1249,23-E:R6
51,0.1274,23-E:R6
52,0.1282,23-E:R6
53,0.1297,23-E:R6
54,0.1315,23-E:R6
55,0.1347,23-E:R6
56,0.1371,23-E:R6
57,0.138,23-E:R6
58,0.1406,23-E:R6
59,0.1443,23-E:R6
60,0.1453,23-E:R6
61,0.1475,23-E:R6
62,0.1497,23-E:R6
63,0.1516,23-E:R6
64,0.1553,23-E:R6
65,0.1573,23-E:R6
66,0.1597,23-E:R6
67,0.1601,23-E:R6
0,0.0039,23-NE:R1
1,0.0044,23-NE:R1
2,0.0078,23-NE:R1
3,0.0036,23-NE:R1
4,0.0052,23-NE:R1
5,0.0056,23-NE:R1
6,0.0075,23-NE:R1
7,0.0081,23-NE:R1
45,0.248,23-NE:R1
53,0.215,23-NE:R1
54,0.2552,23-NE:R1
55,0.2468,23-NE:R1
56,0.2594,23-NE:R1
57,0.2794,23-NE:R1
58,0.2965,23-NE:R1
59,0.3141,23-NE:R1
60,0.3305,23-NE:R1
61,0.3485,23-NE:R1
62,0.3674,23-NE:R1
63,0.3843,23-NE:R1
64,0.404,23-NE:R1
65,0.4223,23-NE:R1
66,0.4558,23-NE:R1
67,0.5161,23-NE:R1
0,0.0036,23-NE:R2
1,0.0019,23-NE:R2
2,0.0042,23-NE:R2
3,0.0014,23-NE:R2
4,0.0024,23-NE:R2
5,0.0034,23-NE:R2
6,0.0048,23-NE:R2
7,0.0047,23-NE:R2
45,0.2411,23-NE:R2
47,0.1898,23-NE:R2
48,0.2209,23-NE:R2
49,0.2443,23-NE:R2
50,0.2546,23-NE:R2
51,0.2674,23-NE:R2
52,0.2804,23-NE:R2
53,0.3042,23-NE:R2
54,0.3503,23-NE:R2
55,0.3399,23-NE:R2
56,0.3546,23-NE:R2
57,0.3715,23-NE:R2
58,0.387,23-NE:R2
59,0.4007,23-NE:R2
60,0.4135,23-NE:R2
61,0.4244,23-NE:R2
62,0.4349,23-NE:R2
63,0.444,23-NE:R2
64,0.4542,23-NE:R2
65,0.4622,23-NE:R2
66,0.4624,23-NE:R2
67,0.4661,23-NE:R2
0,0.0025,23-NE:R3
1,0.001,23-NE:R3
2,0.001,23-NE:R3
3,0.0006,23-NE:R3
4,0.0001,23-NE:R3
5,0.0008,23-NE:R3
6,0.0029,23-NE:R3
7,0.0032,23-NE:R3
8,0.0047,23-NE:R3
45,0.2826,23-NE:R3
50,0.2261,23-NE:R3
51,0.2414,23-NE:R3
52,0.2564,23-NE:R3
53,0.2774,23-NE:R3
54,0.328,23-NE:R3
55,0.3645,23-NE:R3
56,0.3852,23-NE:R3
57,0.403,23-NE:R3
58,0.4235,23-NE:R3
59,0.4379,23-NE:R3
60,0.4549,23-NE:R3
61,0.4675,23-NE:R3
62,0.4814,23-NE:R3
63,0.4927,23-NE:R3
64,0.5073,23-NE:R3
65,0.5208,23-NE:R3
66,0.5334,23-NE:R3
67,0.5448,23-NE:R3
45,0.2789,23-NE:R4
0,1.00E-04,23-NE:R4
1,5.00E-04,23-NE:R4
2,0.0009,23-NE:R4
3,0.0012,23-NE:R4
4,0.0013,23-NE:R4
5,0.0019,23-NE:R4
6,0.0045,23-NE:R4
7,0.0047,23-NE:R4
54,0.3487,23-NE:R4
55,0.3845,23-NE:R4
56,0.4085,23-NE:R4
57,0.4323,23-NE:R4
58,0.4567,23-NE:R4
59,0.4707,23-NE:R4
60,0.4827,23-NE:R4
61,0.4927,23-NE:R4
62,0.5022,23-NE:R4
63,0.5079,23-NE:R4
64,0.515,23-NE:R4
65,0.5196,23-NE:R4
66,0.5254,23-NE:R4
67,0.5282,23-NE:R4
48,0.1985,23-NE:R4
49,0.209,23-NE:R4
50,0.2213,23-NE:R4
51,0.2329,23-NE:R4
52,0.2456,23-NE:R4
53,0.2628,23-NE:R4
0,0.001,23-NE:R5
1,0.0002,23-NE:R5
2,0.0003,23-NE:R5
4,0.0003,23-NE:R5
3,5.00E-04,23-NE:R5
5,0.0018,23-NE:R5
6,0.0036,23-NE:R5
45,0.2968,23-NE:R5
48,0.2014,23-NE:R5
49,0.2244,23-NE:R5
50,0.2356,23-NE:R5
51,0.2477,23-NE:R5
52,0.2609,23-NE:R5
53,0.2759,23-NE:R5
54,0.2964,23-NE:R5
55,0.3166,23-NE:R5
56,0.3336,23-NE:R5
57,0.3516,23-NE:R5
58,0.3731,23-NE:R5
59,0.3936,23-NE:R5
60,0.4182,23-NE:R5
61,0.4423,23-NE:R5
62,0.4654,23-NE:R5
63,0.4863,23-NE:R5
64,0.511,23-NE:R5
65,0.5322,23-NE:R5
66,0.5498,23-NE:R5
67,0.5615,23-NE:R5
0,0.001,23-NE:R6
1,0.001,23-NE:R6
2,0.001,23-NE:R6
3,0.001,23-NE:R6
4,0.001,23-NE:R6
5,0.001,23-NE:R6
6,0.0018,23-NE:R6
35,0.1022,23-NE:R6
48,0.2202,23-NE:R6
49,0.2432,23-NE:R6
50,0.2688,23-NE:R6
51,0.2993,23-NE:R6
52,0.3189,23-NE:R6
53,0.3323,23-NE:R6
54,0.3516,23-NE:R6
55,0.3862,23-NE:R6
56,0.4104,23-NE:R6
57,0.431,23-NE:R6
58,0.455,23-NE:R6
59,0.4268,23-NE:R6
60,0.4506,23-NE:R6
61,0.4544,23-NE:R6
62,0.4667,23-NE:R6
63,0.4774,23-NE:R6
64,0.4924,23-NE:R6
65,0.4957,23-NE:R6
66,0.5289,23-NE:R6
67,0.5079,23-NE:R6
