Id,Com,Treatment,Media,Replicate,T,code,ResperCel
Cn_M9:4,Cn_M9,Cn,M9,4,32.5,32.5:Cn,1.64E-10
Cn_SM:4,Cn_SM,Cn,SM,4,32.5,32.5:Cn,1.65E-10
Ce_M9:4,Ce_M9,Ce,M9,4,32.5,32.5:Ce,3.20E-10
Ce_SM:4,Ce_SM,Ce,SM,4,32.5,32.5:Ce,3.77E-10
Cn_M9:5,Cn_M9,Cn,M9,5,32.5,32.5:Cn,1.73E-10
Cn_SM:5,Cn_SM,Cn,SM,5,32.5,32.5:Cn,1.76E-10
Ce_M9:5,Ce_M9,Ce,M9,5,32.5,32.5:Ce,1.46E-10
Ce_SM:5,Ce_SM,Ce,SM,5,32.5,32.5:Ce,3.02E-10
Cn_M9:6,Cn_M9,Cn,M9,6,32.5,32.5:Cn,1.83E-10
Cn_SM:6,Cn_SM,Cn,SM,6,32.5,32.5:Cn,1.98E-10
Ce_M9:6,Ce_M9,Ce,M9,6,32.5,32.5:Ce,4.08E-10
Ce_SM:6,Ce_SM,Ce,SM,6,32.5,32.5:Ce,3.66E-10
Cn_M9:1,Cn_M9,Cn,M9,1,35,35:Cn,6.02E-11
Cn_SM:1,Cn_SM,Cn,SM,1,35,35:Cn,9.52E-11
Ce_M9:1,Ce_M9,Ce,M9,1,35,35:Ce,1.51E-10
Ce_SM:1,Ce_SM,Ce,SM,1,35,35:Ce,9.04E-11
Cn_M9:2,Cn_M9,Cn,M9,2,35,35:Cn,9.40E-11
Cn_SM:2,Cn_SM,Cn,SM,2,35,35:Cn,1.47E-10
Ce_M9:2,Ce_M9,Ce,M9,2,35,35:Ce,8.94E-11
Ce_SM:2,Ce_SM,Ce,SM,2,35,35:Ce,6.89E-11
Cn_M9:3,Cn_M9,Cn,M9,3,35,35:Cn,1.12E-10
Cn_SM:3,Cn_SM,Cn,SM,3,35,35:Cn,1.47E-10
Ce_M9:3,Ce_M9,Ce,M9,3,35,35:Ce,2.50E-10
Ce_SM:3,Ce_SM,Ce,SM,3,35,35:Ce,2.48E-10
Cn_M9:4,Cn_M9,Cn,M9,4,35,35:Cn,1.09E-10
Cn_SM:4,Cn_SM,Cn,SM,4,35,35:Cn,1.43E-10
Ce_M9:4,Ce_M9,Ce,M9,4,35,35:Ce,2.17E-10
Ce_SM:4,Ce_SM,Ce,SM,4,35,35:Ce,2.37E-10
Cn_M9:5,Cn_M9,Cn,M9,5,35,35:Cn,1.05E-10
Cn_SM:5,Cn_SM,Cn,SM,5,35,35:Cn,1.52E-10
Ce_M9:5,Ce_M9,Ce,M9,5,35,35:Ce,1.05E-10
Ce_SM:5,Ce_SM,Ce,SM,5,35,35:Ce,1.29E-10
Cn_M9:6,Cn_M9,Cn,M9,6,35,35:Cn,9.34E-11
Cn_SM:6,Cn_SM,Cn,SM,6,35,35:Cn,1.32E-10
Ce_M9:6,Ce_M9,Ce,M9,6,35,35:Ce,2.68E-10
Ce_SM:6,Ce_SM,Ce,SM,6,35,35:Ce,2.98E-10
